BINF2010	H14A	LAB	Thu 14-17	Drum K17B8	24	24
BINF3020	M12A	TUT	Mon 12-13	RedC 2035	6	15
BINF3020	M13A	TUT	Mon 13-14	RedC 2035	0	15
BINF3111	T14A	TUT	Tue 14-16	Gold G01	1	15
BINF9020	M12A	TUT	Mon 12-13	RedC 2035	1	5
BINF9020	M13A	TUT	Mon 13-14	RedC 2035	0	5
COMP1400	H12A	LAB	Thu 12-14	Kora ME307	18	18
COMP1400	H14A	LAB	Thu 14-16	Kora ME307	18	18
COMP1400	W13A	LAB	Wed 13-15	PianoPhysU	12	18
COMP1917	H09A	TLB	Thu 09-10	Quad 1045	24	24
COMP1917	H09B	TLB	Thu 09-10	Gold G07	24	24
COMP1917	H17A	TLB	Thu 17-18	BUS  215	24	24
COMP1917	H17B	TLB	Thu 17-18	Mat  303	10	25
COMP1917	M13A	TLB	Mon 13-14	RedC 3037	24	24
COMP1917	M13B	TLB	Mon 13-14	Quad 1047	24	24
COMP1917	M16A	TLB	Mon 16-17	Gold G02	24	24
COMP1917	T09A	TLB	Tue 09-10	Gold G02	24	24
COMP1917	T09B	TLB	Tue 09-10	Quad G054	24	24
COMP1917	T14A	TLB	Tue 14-15	Quad 1042	24	24
COMP1917	T14B	TLB	Tue 14-15	Gold G02	24	24
COMP1917	T17A	TLB	Tue 17-18	Quad G054	24	24
COMP1917	T17B	TLB	Tue 17-18	Quad 1042	24	24
COMP1917	W09A	TLB	Wed 09-10	Quad 1046	25	25
COMP1917	W09B	TLB	Wed 09-10	Quad G054	24	24
COMP1917	W12A	TLB	Wed 12-13	Webst 252	24	24
COMP1917	W12B	TLB	Wed 12-13	Gold G07	24	24
COMP1917	W16A	TLB	Wed 16-17	Quad G041	24	24
COMP1917	W16B	TLB	Wed 16-17	Quad G054	24	24
COMP1921	H09A	TLB	Thu 09-10	Webst 252	24	24
COMP1921	H09B	TLB	Thu 09-10	Gold G03	24	24
COMP1921	T12A	TLB	Tue 12-13	Quad 1046	22	24
COMP1921	T12B	TLB	Tue 12-13	Quad 1048	24	24
COMP1921	T15B	TLB	Tue 15-16	Gold G02	24	24
COMP1921	W16A	TLB	Wed 16-17	BUS  207	25	25
COMP1921	W16B	TLB	Wed 16-17	Quad G045	24	24
COMP1927	F09A	TLB	Fri 09-10	Quad G042	22	22
COMP1927	F12A	TLB	Fri 12-13	Gold G07	23	24
COMP1927	F12B	TLB	Fri 12-13	BUS  219	24	24
COMP1927	M13A	TLB	Mon 13-14	Gold G02	24	24
COMP1927	M13B	TLB	Mon 13-14	Quad 1046	24	24
COMP1927	M16A	TLB	Mon 16-17	Quad G032	24	24
COMP1927	M16B	TLB	Mon 16-17	AinswthG01	22	22
COMP1927	T09A	TLB	Tue 09-10	AinswthG01	22	22
COMP1927	T09B	TLB	Tue 09-10	Quad G041	24	24
COMP1927	T12A	TLB	Tue 12-13	AinswthG01	22	22
COMP1927	T12B	TLB	Tue 12-13	Quad G031	24	24
COMP1927	T12C	TLB	Tue 12-13	RedC 3037	24	24
COMP1927	T16A	TLB	Tue 16-17	Gold G02	22	24
COMP1927	T16B	TLB	Tue 16-17	Webst 252	24	24
COMP1927	W09A	TLB	Wed 09-10	AinswthG01	22	22
COMP1927	W09B	TLB	Wed 09-10	Gold G03	24	24
COMP1927	W12A	TLB	Wed 12-13	RedC 2035	24	24
COMP1927	W12B	TLB	Wed 12-13	RedC 3037	24	24
COMP1927	W17A	TLB	Wed 17-18	Quad G054	24	24
COMP1927	W17B	TLB	Wed 17-18	Quad G041	24	24
COMP2041	F12A	TLB	Fri 12-13	Gold G06	29	34
COMP2041	F12B	TLB	Fri 12-13	Webst 250	32	34
COMP2041	H11A	TLB	Thu 11-12	Mat 102	30	34
COMP2041	H11B	TLB	Thu 11-12	Webst 250	31	34
COMP2041	H14A	TLB	Thu 14-15	Ainswth201	30	34
COMP2041	H14B	TLB	Thu 14-15	Block G15	33	34
COMP2041	H18A	TLB	Thu 18-19	OMB151	31	34
COMP2041	H18B	TLB	Thu 18-19	RedC M010	29	34
COMP2041	H18C	TLB	Thu 18-19	CivEng 102	26	38
COMP2041	T15A	TLB	Tue 15-16	Block G6	24	34
COMP2041	T18A	TLB	Tue 18-19	RedC M010	29	34
COMP2041	W09A	TLB	Wed 09-10	Quad G031	25	34
COMP2041	W09B	TLB	Wed 09-10	Mat  125	21	34
COMP2041	W12A	TLB	Wed 12-13	Col LG01	31	34
COMP2041	W12B	TLB	Wed 12-13	Law 302	31	34
COMP2041	W15A	TLB	Wed 15-16	Ainswth201	28	34
COMP2041	W15B	TLB	Wed 15-16	Block G16	27	34
COMP2121	F13A	LAB	Fri 13-15	ElecEng233	24	24
COMP2121	F15A	LAB	Fri 15-17	ElecEng233	23	23
COMP2121	H13A	LAB	Thu 13-15	ElecEng233	24	24
COMP2121	H17A	LAB	Thu 17-19	ElecEng233	0	24
COMP2121	M13A	LAB	Mon 13-15	ElecEng233	24	24
COMP2121	M15A	LAB	Mon 15-17	ElecEng233	0	24
COMP2121	M17A	LAB	Mon 17-19	ElecEng233	0	24
COMP2121	T13A	LAB	Tue 13-15	ElecEng233	24	24
COMP2121	T17A	LAB	Tue 17-19	ElecEng233	24	24
COMP2121	W13A	LAB	Wed 13-15	ElecEng233	24	24
COMP3161	T16A	TUT	Tue 16-17	OMB 150	20	24
COMP3161	T17A	TUT	Tue 17-18	OMB 150	0	24
COMP3161	W16A	TUT	Wed 16-17	Webst 302	21	24
COMP3161	W17A	TUT	Wed 17-18	Webst 302	11	24
COMP3222	H10A	LAB	Thu 10-12	LyreK17G12	10	18
COMP3222	H14A	LAB	Thu 14-16	LyreK17G12	0	18
COMP3222	T09A	LAB	Tue 09-11	LyreK17G12	12	18
COMP3222	T13A	LAB	Tue 13-15	LyreK17G12	18	18
COMP3222	W11A	LAB	Wed 11-13	LyreK17G12	15	18
COMP3222	W13A	LAB	Wed 13-15	LyreK17G12	10	18
COMP3222	M15A	TUT	Mon 15-16	Gold G07	0	24
COMP3222	M16A	TUT	Mon 16-17	Gold G07	0	24
COMP3222	T12A	TUT	Tue 12-13	Quad G041	23	24
COMP3222	T15A	TUT	Tue 15-16	JGoodsLG19	21	24
COMP3222	W15A	TUT	Wed 15-16	BUS  207	21	24
COMP3331	H12A	LAB	Thu 12-14	SitarME306	18	25
COMP3331	H12B	LAB	Thu 12-14	Oboe ME304	19	24
COMP3331	M12A	LAB	Mon 12-14	SitarME306	16	24
COMP3331	M12B	LAB	Mon 12-14	Oboe ME304	16	24
COMP3331	M18A	LAB	Mon 18-20	Kora ME307	16	24
COMP3331	M18B	LAB	Mon 18-20	Oboe ME304	18	24
